Name of King,Length of Reign,Running Total
Philippikou,2,1036
Anastasiou,2,1038
Theodosiou,1,1039
Leontos,25,10??4
Konstantinou,34,10??8
Leontou kai Konstant,5,1103
Konstantinou kai Eirines,10,1113
Konstantinou,7,1120
Eirines,5,1125
Nekiphorou Suntuo,9,1134
Mexaelsuntou o?u,2,1136
